#IATA,FR name,EN name,Province,AUTO/MAN,Latitude,Longitude,Elevation,# ICAO,# WMO,# MSC,DST Time Zone / Fuseau horaire �t�, STD Time Zone / Fuseau horaire heure normale
PKG,KEG RIVER AGCM AB,KEG RIVER AGCM AB,AB,Auto,57.783333,-117.683333,408,CPKG,3073644,MDT,MST,
PKI,KITSCOTY AGCM AB,KITSCOTY AGCM AB,AB,Auto,53.35,-110.416667,664,CPKI,71797,3013660,MDT,MST
PKO,KEOMA AGCM,KEOMA AGCM,AB,Auto,51.183333,-113.633333,945,CPKO,3033620,MDT,MST,
PKR,KINSELLA RESEARCH STATION,KINSELLA RESEARCH STATION,AB,Auto,53.05,-111.55,701,CPKR,3013647,MDT,MST,
PKY,ROCKY LANE AGCM AB,ROCKY LANE AGCM AB,AB,Auto,58.45,-116.483333,301,CPKY,3075550,MDT,MST,
PLA,LINDEN AGCM AB,LINDEN AGCM AB,AB,Auto,51.616667,-113.65,914,CPLA,71035,3023850,MDT,MST
PLC,LA CRETE AGCM,LA CRETE AGCM,AB,Auto,58.166667,-116.35,323,CPLC,71542,3073730,MDT,MST
PLE,LYNN LAKE RCS,LYNN LAKE RCS,MB,Auto,56.866667,-101.066667,354.2,CPLE,71632,5061649,CDT,CST
PLF,LEGAL AGCM AB,LEGAL AGCM AB,AB,Auto,54,-113.466667,680,CPLF,71544,3013790,MDT,MST
PLG,LA GLACE AGCM,LA GLACE AGCM,AB,Auto,55.416667,-119.25,760,CPLG,71543,3073740,MDT,MST
PLS,"Key Lake, SK","Key Lake, SK",SK,Auto,57.25,-105.6,513.9,CPLS,71033,4063753,CST,CST
PLY,ISPAS,ISPAS,AB,Auto,53.85,-111.833333,655,CPLY,3065712,MDT,MST,
PLZ,Lodge Creek,LODGE CREEK,AB,Auto,49.45,-110.333333,1068,CPLZ,3023900,MDT,MST,
PMA,Mannville,MANNVILLE AGCM AB,AB,Auto,53.45,-111.25,656,CPMA,71047,3014195,MDT,MST
PMB,Manyberries,MANYBERRIES AGCM AB,AB,Auto,49.366667,-110.683333,927,CPMB,71051,3044203,MDT,MST
PMK,Mankota,MANKOTA SK,SK,Auto,49.1,-107.016667,830,CPMK,71204,4034910,CST,CST
PML,Mossleigh,MOSSLEIGH AGCM AB,AB,Auto,50.666667,-113.35,965,CPML,71057,3034577,MDT,MST
PMN,Myrnam,MYRNAM AGCM AB,AB,Auto,53.716667,-111.116667,580,CPMN,71065,3014690,MDT,MST
PMR,ST. MARY RESERVOIR,ST. MARY RESERVOIR,AB,Auto,49.366667,-113.116667,1128,CPMR,71837,3056100,MDT,MST
PNB,EVANSBURG2 AGCM AB,EVANSBURG2 AGCM AB,AB,Auto,53.616667,-115.783333,785,CPNB,71481,3062476,MDT,MST
PNS,New Serepta,NEW SEREPTA AGCM AB,AB,Auto,53.266667,-113.166667,765,CPNS,71067,3014795,MDT,MST
PNU,SUNNYNOOK AGCM,SUNNYNOOK AGCM,AB,Auto,51.3,-111.383333,775,CPNU,3026264,MDT,MST,
PNX,Ranfurly,RANFURLY AUTO,AB,Auto,53.416667,-111.733333,687,CPNX,71637,3015401,MDT,MST
POX,Saskatoon,"Saskatoon, SK RCS",SK,Auto,52.166667,-106.716667,504.1,CPOX,71496,4057165,CST,CST
POY,Cypress River,Cypress River RCS,MB,Auto,49.55,-99.066667,374,CPOY,71239,5010641,CDT,CST
PPL,Pakowki Lake,PAKOWKI LAKE AGCM AB,AB,Auto,49.216667,-111.133333,915,CPPL,71070,3045000,MDT,MST
PPN,Social Plains,SOCIAL PLAINS AGCM,AB,Auto,50.733333,-110.216667,741,CPPN,3036040,MDT,MST,
PPR,Prince Albert Glass Field,PRINCE ALBERT GLASS FIELD RCS,SK,Auto,53.216667,-105.683333,425.45,CPPR,73002,4056243,CST,CST
PPT,Patricia,PATRICIA AGCM,AB,Auto,50.733333,-111.616667,726,CPPT,3025013,MDT,MST,
PQD,The Pas,"THE PAS, MAN",MB,Auto,53.816667,-101.2,270,CPQD,71695,5052890,CDT,CST
PQL,Lethbridge,Lethbridge Demo Farm AGDM,AB,Auto,49.683333,-112.75,903,CPQL,71509,3033897,MDT,MST
PQU,Queenstown,QUEENSTOWN,AB,Auto,50.6,-112.8,941,CPQU,71073,3035342,MDT,MST
PQW,North Battleford,NORTH BATTLEFORD RCS CR3000,SK,Auto,52.766667,-108.25,548,CPQW,71754,4045607,CST,CST
